epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,1.0448,0.7578,0.8105,0.6503,0.1473,0.536
2,0.7488,0.6129,0.9351,0.8088,0.3446,0.6962
3,0.618,0.5092,0.9601,0.8697,0.5005,0.7768
4,0.5602,0.4709,0.9682,0.8567,0.5073,0.7774
5,0.511,0.4265,0.9693,0.8505,0.5342,0.7847
6,0.4678,0.4088,0.9653,0.8724,0.5308,0.7895
7,0.4246,0.3745,0.9693,0.8715,0.5917,0.8108
8,0.3923,0.3578,0.9715,0.8776,0.6002,0.8164
9,0.3693,0.3333,0.971,0.8881,0.6088,0.8227
10,0.3762,0.3381,0.9698,0.8647,0.592,0.8088
11,0.3435,0.3018,0.9717,0.8854,0.6135,0.8235
12,0.3425,0.2861,0.97,0.8914,0.6219,0.8278
13,0.3061,0.2829,0.9708,0.8832,0.5921,0.8154
14,0.2924,0.263,0.9722,0.8937,0.6385,0.8348
15,0.2633,0.2609,0.972,0.8853,0.6101,0.8225
16,0.2784,0.2913,0.9707,0.8528,0.5206,0.7814
17,0.2471,0.2465,0.9715,0.8901,0.6228,0.8281
18,0.2373,0.2324,0.9719,0.8897,0.6288,0.8301
19,0.241,0.26,0.9718,0.8665,0.5327,0.7903
20,0.2228,0.2328,0.9729,0.8847,0.5944,0.8173
21,0.2237,0.2393,0.972,0.8722,0.5643,0.8029
22,0.2128,0.2108,0.9731,0.894,0.6364,0.8345
23,0.2022,0.2081,0.9719,0.8951,0.6406,0.8358
24,0.2062,0.2069,0.9722,0.8906,0.6361,0.8329
25,0.203,0.2026,0.9735,0.8937,0.6415,0.8362
26,0.1908,0.1927,0.9721,0.8948,0.6399,0.8356
27,0.1843,0.2098,0.9731,0.8821,0.598,0.8177
28,0.1754,0.1898,0.9728,0.898,0.648,0.8396
29,0.1698,0.1897,0.9732,0.8934,0.6388,0.8351
30,0.1713,0.1916,0.9735,0.8899,0.6289,0.8308
31,0.1642,0.1932,0.9733,0.8898,0.6217,0.8283
32,0.1609,0.1838,0.9735,0.8947,0.6427,0.837
33,0.164,0.1815,0.9734,0.8979,0.6388,0.8367
34,0.1823,0.1877,0.972,0.8943,0.641,0.8358
35,0.1971,0.2008,0.9727,0.8924,0.618,0.8277
