epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.9685,0.6795,0.893,0.7774,0.248,0.6395
2,0.6757,0.5204,0.9565,0.8437,0.4999,0.7667
3,0.5638,0.4614,0.9675,0.8694,0.5583,0.7984
4,0.4874,0.4122,0.9659,0.8807,0.5734,0.8067
5,0.4311,0.3767,0.9694,0.8862,0.6002,0.8186
6,0.3864,0.3446,0.9702,0.8912,0.6113,0.8242
7,0.3646,0.3275,0.9719,0.8874,0.6192,0.8262
8,0.3415,0.3115,0.9722,0.8918,0.6265,0.8302
9,0.3179,0.2829,0.972,0.8945,0.6368,0.8344
10,0.2901,0.2903,0.9719,0.8716,0.562,0.8019
11,0.283,0.2626,0.9717,0.8888,0.6103,0.8236
12,0.2551,0.2561,0.9718,0.8875,0.6107,0.8233
13,0.2427,0.2328,0.9728,0.8977,0.64,0.8368
14,0.2266,0.2222,0.9735,0.8981,0.6524,0.8413
15,0.2188,0.2199,0.9726,0.8945,0.6346,0.8339
16,0.2331,0.2291,0.9682,0.8891,0.5922,0.8165
17,0.2234,0.2078,0.973,0.8929,0.6403,0.8354
18,0.2171,0.2029,0.9731,0.8964,0.6438,0.8378
19,0.1944,0.2075,0.9713,0.8903,0.6369,0.8329
20,0.1891,0.1898,0.9736,0.9007,0.6535,0.8426
21,0.1827,0.1905,0.9712,0.8948,0.6503,0.8388
22,0.1683,0.1804,0.9737,0.9014,0.6689,0.848
23,0.1774,0.1823,0.9734,0.8982,0.6614,0.8443
24,0.1689,0.1743,0.9739,0.9042,0.6697,0.8492
25,0.1576,0.1717,0.9735,0.9046,0.6698,0.8493
