epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,1.1233,0.9095,0.6519,0.4935,0.0756,0.407
2,0.8099,0.692,0.8561,0.7719,0.1663,0.5981
3,0.6924,0.5949,0.9245,0.853,0.3187,0.6987
4,0.6329,0.5284,0.9554,0.8615,0.4562,0.7577
5,0.583,0.4884,0.967,0.8642,0.5336,0.7883
6,0.5487,0.458,0.9682,0.8758,0.5561,0.8
7,0.4986,0.437,0.9668,0.8789,0.5683,0.8046
8,0.4695,0.4053,0.9687,0.8848,0.5848,0.8127
9,0.4502,0.3902,0.9674,0.8797,0.5579,0.8017
10,0.4209,0.3744,0.9708,0.8784,0.5836,0.8109
11,0.386,0.3593,0.9707,0.8779,0.5871,0.8119
12,0.3767,0.3492,0.9712,0.887,0.6158,0.8247
13,0.352,0.335,0.9712,0.8858,0.6059,0.8209
14,0.3558,0.3311,0.9712,0.879,0.567,0.8057
15,0.3155,0.3074,0.9715,0.8872,0.6213,0.8267
16,0.3436,0.3087,0.9715,0.8798,0.5892,0.8135
17,0.3055,0.294,0.9712,0.8849,0.6019,0.8193
18,0.3029,0.3037,0.97,0.8787,0.5832,0.8106
19,0.2772,0.2772,0.9727,0.8904,0.6178,0.827
20,0.2635,0.2662,0.9721,0.887,0.6266,0.8286
21,0.2702,0.2629,0.9702,0.8848,0.6165,0.8238
22,0.2614,0.2595,0.9725,0.8905,0.6222,0.8284
23,0.2481,0.2525,0.9702,0.8914,0.6127,0.8247
24,0.2301,0.2464,0.9707,0.883,0.6231,0.8256
25,0.221,0.2394,0.9706,0.8894,0.6184,0.8261
26,0.2337,0.232,0.9719,0.8892,0.626,0.829
27,0.2091,0.2306,0.9726,0.8895,0.6296,0.8306
28,0.1963,0.2316,0.9721,0.8851,0.6099,0.8223
29,0.2013,0.2318,0.97,0.8787,0.6252,0.8246
30,0.2017,0.2213,0.9729,0.8915,0.6295,0.8313
31,0.1963,0.2234,0.9704,0.8806,0.5954,0.8154
32,0.1839,0.2196,0.9731,0.8843,0.6024,0.8199
33,0.1865,0.2904,0.9684,0.8015,0.5202,0.7634
34,0.2007,0.3443,0.9373,0.8639,0.3768,0.726
35,0.2223,0.2095,0.9716,0.8877,0.6168,0.8253
36,0.2036,0.2833,0.9721,0.838,0.4191,0.7431
37,0.2273,0.2415,0.9723,0.8566,0.5311,0.7867
38,0.1874,0.2076,0.9721,0.8898,0.622,0.8279
39,0.1726,0.2028,0.9722,0.8894,0.6247,0.8288
40,0.1801,0.1971,0.9725,0.8937,0.6308,0.8323
41,0.1722,0.2003,0.9727,0.8891,0.6242,0.8287
42,0.1603,0.1972,0.9721,0.8895,0.6292,0.8303
43,0.1646,0.2035,0.9722,0.8881,0.616,0.8254
44,0.1528,0.1903,0.9723,0.8921,0.6348,0.8331
45,0.1531,0.1889,0.9729,0.8951,0.6359,0.8346
46,0.1499,0.1853,0.9728,0.8962,0.6386,0.8358
47,0.147,0.1846,0.9717,0.8952,0.6403,0.8357
48,0.1408,0.1871,0.9722,0.8945,0.6328,0.8332
49,0.1456,0.1893,0.9721,0.8931,0.6365,0.8339
50,0.1372,0.1907,0.971,0.8849,0.6369,0.8309
